# The Urban Flows Observatory @ Sheffield (SUFO)
# Filters/Options used in this retrieval
#    Extract/show every data point available
#    Examine raw instrument data
#    Show one table per sensor/site
#    Data with QC issues shown with values
#        No-values = -32768
#        Values Below range = -32769
#        Values Above range = -32767
#    Filter by Sites: [SCC]DET005
#    Filter by Time From: 2023-07-13T10:38:45 To: 2023-07-13T13:38:45
# Number of tables shown: 2


# Table for [SCC]DET005.[SCC]DET005|SCC_flow|flows
# RequestIssued: 2023-07-13T13:39:20
# Time.From: 2023-07-13T10:38:45
# Time.To: 2023-07-13T13:38:45
# pair.id: [SCC]DET005-[SCC]DET005/SCC_flow
# site.id: [SCC]DET005
# site.family: SCC_sites
# sensor.id: [SCC]DET005
# sensor.family: SCC_flow
# portal.id: SCCDET005_SCFL
# sensor.FamTab: SCC_flow-flows
# fullName: SCC_flow-[SCC]DET005-[SCC]DET005
# longitude: -1.48427309
# latitude: 53.38280121
# altitude: 101.87
# location: outdoors
# heightAboveGround: 0.0
# heightAboveRefLevel: 0.0
# distanceToWall: 0.0
# address: Netherthorpe Road exiting Brookhill Rbt
# zip: N/A
# located: outdoors
#Colu_1 time {"name": "flows.time", "units": "s", "UCD": "TIME_UTC_UNIX"}
#Colu_2 sensor {"name": "flows.sensor", "units": "", "UCD": "ID_MAIN"}
#Colu_3 flow {"name": "flows.flow", "units": "cars/min", "UCD": "TRAFF_FLOW"}
# nEntries: 33
1689241200,[SCC]DET005,40.0
1689241500,[SCC]DET005,39.6
1689241800,[SCC]DET005,46.0
1689242100,[SCC]DET005,41.4
1689242400,[SCC]DET005,43.4
1689242700,[SCC]DET005,36.6
1689243000,[SCC]DET005,42.6
1689243300,[SCC]DET005,42.4
1689243600,[SCC]DET005,44.6
1689243900,[SCC]DET005,44.4
1689244200,[SCC]DET005,45.0
1689244500,[SCC]DET005,47.6
1689244800,[SCC]DET005,41.4
1689245100,[SCC]DET005,41.4
1689245400,[SCC]DET005,43.8
1689245700,[SCC]DET005,39.8
1689246000,[SCC]DET005,38.2
1689246300,[SCC]DET005,44.2
1689246600,[SCC]DET005,43.4
1689246900,[SCC]DET005,43.0
1689247200,[SCC]DET005,47.2
1689247500,[SCC]DET005,50.6
1689247800,[SCC]DET005,41.2
1689248100,[SCC]DET005,39.0
1689248400,[SCC]DET005,47.0
1689248700,[SCC]DET005,44.6
1689249000,[SCC]DET005,46.4
1689249300,[SCC]DET005,37.8
1689249600,[SCC]DET005,41.8
1689249900,[SCC]DET005,39.2
1689250200,[SCC]DET005,33.0
1689250500,[SCC]DET005,39.2
1689250800,[SCC]DET005,44.0
# End table for Pair [SCC]DET005.[SCC]DET005


# Table for [SCC]DET005.[SCC]DET005|SCC_occupancy|occup
# RequestIssued: 2023-07-13T13:39:20
# Time.From: 2023-07-13T10:38:45
# Time.To: 2023-07-13T13:38:45
# pair.id: [SCC]DET005-[SCC]DET005/SCC_occupancy
# site.id: [SCC]DET005
# site.family: SCC_sites
# sensor.id: [SCC]DET005
# sensor.family: SCC_occupancy
# portal.id: SCCDET005_SCOC
# sensor.FamTab: SCC_occupancy-occup
# fullName: SCC_occupancy-[SCC]DET005-[SCC]DET005
# longitude: -1.48427309
# latitude: 53.38280121
# altitude: 101.87
# location: outdoors
# heightAboveGround: 0.0
# heightAboveRefLevel: 0.0
# distanceToWall: 0.0
# address: Netherthorpe Road exiting Brookhill Rbt
# zip: N/A
# located: outdoors
#Colu_1 time {"name": "occup.time", "units": "s", "UCD": "TIME_UTC_UNIX"}
#Colu_2 sensor {"name": "occup.sensor", "units": "", "UCD": "ID_MAIN"}
#Colu_3 occupancy {"name": "occup.occupancy", "units": "%", "UCD": "TRAFF_OCCUP"}
# nEntries: 33
1689241200,[SCC]DET005,9.6
1689241500,[SCC]DET005,10.1
1689241800,[SCC]DET005,12.1
1689242100,[SCC]DET005,9.6
1689242400,[SCC]DET005,10.7
1689242700,[SCC]DET005,8.2
1689243000,[SCC]DET005,10.4
1689243300,[SCC]DET005,10.2
1689243600,[SCC]DET005,10.4
1689243900,[SCC]DET005,10.6
1689244200,[SCC]DET005,11.7
1689244500,[SCC]DET005,11.8
1689244800,[SCC]DET005,9.6
1689245100,[SCC]DET005,10.1
1689245400,[SCC]DET005,10.7
1689245700,[SCC]DET005,9.7
1689246000,[SCC]DET005,8.9
1689246300,[SCC]DET005,10.5
1689246600,[SCC]DET005,9.7
1689246900,[SCC]DET005,10.5
1689247200,[SCC]DET005,12.0
1689247500,[SCC]DET005,11.9
1689247800,[SCC]DET005,9.7
1689248100,[SCC]DET005,9.3
1689248400,[SCC]DET005,11.6
1689248700,[SCC]DET005,10.9
1689249000,[SCC]DET005,11.2
1689249300,[SCC]DET005,8.2
1689249600,[SCC]DET005,10.0
1689249900,[SCC]DET005,9.3
1689250200,[SCC]DET005,7.7
1689250500,[SCC]DET005,9.6
1689250800,[SCC]DET005,11.2
# End table for Pair [SCC]DET005.[SCC]DET005


